,Asians,Black,White,average
0,0.9999999999999951,0.999920212674009,1.0000000000000004,0.9999734042246682
1,0.9999999999999951,0.9999127757523207,0.9999969411941813,0.9999699056488324
2,0.9999999999999951,0.9998685761306305,0.9999947215155173,0.9999544325487143
3,0.9999999999999951,0.999570750035764,0.9999904236137409,0.9998537245498333
4,0.9999999135581171,0.9982834651301027,0.9999845191203479,0.9994226326028559
5,0.9999998250000953,0.9980886923735347,0.99997052372197,0.9993530136985335
6,0.9999707456497331,0.9970410244032732,0.999910379510777,0.9989740498545944
7,0.9999673120842547,0.9955033955711636,0.9998299904591692,0.9984335660381959
8,0.9999407379572447,0.9942986357094604,0.9997342538701742,0.9979912091789598
9,0.9999225046213991,0.9929857489912921,0.9996133888805273,0.9975072141644062
10,0.9999179915335142,0.9901474824539096,0.9994648634410536,0.9965101124761592
11,0.9998601189352444,0.9873275961734362,0.9992441165782049,0.9954772772289618
12,0.9869928575733465,0.9834430019463736,0.9989431283337531,0.9897929959511577
13,0.9866561051015678,0.9801685384262141,0.9985059817794962,0.9884435417690928
14,0.9855278829457653,0.9703281271680267,0.9977889530854095,0.9845483210664004
15,0.9836566172998646,0.9620857057581679,0.9967390877195942,0.9808271369258755
16,0.9830436338016953,0.952248447688843,0.9953934083169869,0.976895163269175
17,0.9814770312135304,0.9420417623082756,0.9885501401528337,0.9706896445582133
18,0.9800503970630573,0.9284329228277652,0.9857533264928505,0.9647455487945577
19,0.9787437793685645,0.9152407180598359,0.9825155435330193,0.9588333469871398
20,0.9708259432988648,0.9010120286350235,0.9777495903791238,0.949862520771004
21,0.9666695946229595,0.8865377634602816,0.9711376962026119,0.9414483514286177
22,0.9625397834135714,0.867536762707736,0.9621810350021375,0.9307525270411482
23,0.949147834156503,0.8487796837901944,0.9539283528521438,0.9172852902662804
24,0.9390718969734224,0.8273387327691307,0.9430860169606927,0.903165548901082
25,0.9278467920652649,0.8018334509634504,0.9310302710796697,0.886903504702795
26,0.9188434662725187,0.7719050564581054,0.9150389930130983,0.8685958385812408
27,0.9098605815817439,0.7446216958349408,0.8960301676395318,0.8501708150187387
28,0.8977664851711689,0.7179474278544836,0.8787752705698789,0.8314963945318438
29,0.8634551221101449,0.6895859623574113,0.8541453213450939,0.8023954686042166
30,0.8492798026438078,0.6589964935659925,0.8326462509149134,0.7803075157082379
31,0.8284312839496376,0.6312633952696568,0.8052912461702897,0.7549953084631946
32,0.7967971596617555,0.6040933937294551,0.7741698264934715,0.7250201266282273
33,0.7739127423978361,0.573466540967849,0.744278434841806,0.6972192394024971
34,0.7457684809175903,0.5445270935003108,0.7085263670709867,0.6662739804962959
35,0.7233680835864668,0.5147580927737619,0.6764547918616952,0.6381936560739746
36,0.6939804352543527,0.48423474648851683,0.6384595246887661,0.6055582354772119
37,0.6662709422288595,0.4485314071199903,0.6022011858917772,0.5723345117468757
38,0.6373837540384564,0.4208246081277496,0.5581110283050051,0.5387731301570704
39,0.61196968160891,0.3938381199843497,0.5107787521119469,0.5055288512350689
