,Asians,Black,White,average
0,0.9949541172491636,0.9881324817297453,0.9999765246604073,0.9943543745464387
1,0.9378385233442997,0.9846741961550354,0.9997396634573656,0.9740841276522335
2,0.8834882929191679,0.9756227937585237,0.9994418753344643,0.9528509873373853
3,0.8345749151349255,0.974290674019347,0.9990834690869953,0.9359830194137558
4,0.8271525186596718,0.9731712505647809,0.9988139406756156,0.9330459033000228
5,0.8133886631087377,0.9726131418813269,0.9986463528088265,0.9282160525996304
6,0.7825447309520429,0.9712208809435062,0.9985404115031964,0.9174353411329151
7,0.7687323363552178,0.9700441333183859,0.998388871606081,0.9123884470932282
8,0.7541388023326459,0.958780842196525,0.9967080721546294,0.9032092388946
9,0.7263603567933428,0.9393007709382387,0.9945194010767651,0.8867268429361155
10,0.7060218626256484,0.9311585687376286,0.992190177559074,0.8764568696407836
11,0.7011714649738249,0.9236528960813446,0.9905003354702419,0.8717748988418038
12,0.6970011669060746,0.903104022052591,0.9892794810813532,0.8631282233466729
13,0.6875472206181857,0.8973083775059745,0.9877902820173733,0.8575486267138445
14,0.6631786182060145,0.8844202553783033,0.9856571584941283,0.8444186773594821
15,0.6175199224847365,0.8795980636056917,0.9785614876171224,0.8252264912358501
16,0.5967776009894799,0.8694935494912098,0.9692740307348181,0.8118483937385026
17,0.5917947073035964,0.8605672297848018,0.961652930985207,0.8046716226912017
18,0.5881243389417159,0.8528802655346186,0.9580746534534706,0.7996930859766017
19,0.5747457573558356,0.842450353397357,0.9540766082830756,0.7904242396787561
20,0.5465204873897859,0.8311040645747907,0.9458024413872163,0.7744756644505976
21,0.5006119621937639,0.8099541641168964,0.9364513881745676,0.7490058381617426
22,0.4664839085420034,0.7936789132733338,0.9252164642616366,0.728459762025658
23,0.4515912988529275,0.7768746602593702,0.9096175185129044,0.712694492541734
24,0.4257708235855637,0.7570060831872032,0.8977126401220479,0.693496515631605
25,0.38961411315307143,0.7478372170176141,0.8929714758415652,0.6768076020040835
26,0.3552845161422579,0.7226597830209861,0.8870448659130558,0.6549963883587666
27,0.32475416271571683,0.7131320618429347,0.8761491835683864,0.6380118027090127
28,0.29660403939051433,0.6881500341549042,0.865755426602145,0.6168365000491879
29,0.28331895233994814,0.6791664468532415,0.8506549665052183,0.6043801218994693
30,0.2730639090990321,0.6584309751073305,0.8396957722009292,0.5903968854690973
31,0.2640936743773053,0.6234647140829831,0.8289689901395434,0.5721757928666106
32,0.2559075503182514,0.6059667561774499,0.821379387091723,0.5610845645291415
33,0.24431517451373533,0.582509622669175,0.8128339758953955,0.5465529243594353
34,0.2175090197492441,0.5624370729223792,0.7948859572614231,0.5249440166443488
35,0.20455284612465288,0.5390913577917401,0.7754851247120104,0.5063764428761345
36,0.1968304033848984,0.5125473870672943,0.7591125730389526,0.48949678783038175
37,0.18614744807812608,0.49762041032661675,0.7465756137360606,0.47678115738026783
38,0.1807570381529589,0.47291650064115265,0.7312115135494955,0.4616283507812023
39,0.16249906298591496,0.4560836082576384,0.7096742878767429,0.4427523197067654
