,Asians,Black,White,average
0,0.8800816158870858,0.9792442746258515,0.999514431583559,0.9529467740321654
1,0.8290489495297901,0.9736431055140868,0.9987461006066266,0.9338127185501679
2,0.8008772055479512,0.9717000761916642,0.9984059829493045,0.92366108822964
3,0.7956690890083844,0.9601615900983826,0.9982484637083505,0.9180263809383725
4,0.7285322185687924,0.9534268051734536,0.9979240852284099,0.8932943696568852
5,0.6921459828784737,0.9509483953968891,0.9968770192235347,0.8799904658329658
6,0.67553334046021,0.9277149224274924,0.9943621306627469,0.8658701311834832
7,0.6583403004300121,0.920308995949774,0.9920901214980149,0.8569131392926003
8,0.6229323795750353,0.9041379342104328,0.9877826806577048,0.8382843314810575
9,0.596350912834781,0.8853390948077837,0.9822224717743667,0.8213041598056439
10,0.5854903251479736,0.8600945919280173,0.9674886770084109,0.8043578646948006
11,0.5782920597957621,0.8458662452242136,0.9615223953643164,0.7952269001280974
12,0.568451501919261,0.8356567538336105,0.9570960475223076,0.7870681010917263
13,0.5385125761995556,0.810562273474339,0.9497165318342145,0.7662637938360364
14,0.5059245815787682,0.7812390846593298,0.9390243450561374,0.7420626704314118
15,0.49086481503112656,0.7654553477991203,0.9222843912198467,0.7262015180166977
16,0.48434209282175755,0.7462280434517546,0.9105828997594989,0.7137176786776704
17,0.41304880922011894,0.7056575616017157,0.8858233237566536,0.6681765648594961
18,0.37050788737579604,0.6882249315610053,0.8662692668237956,0.641667361920199
19,0.307752301799752,0.6683302074497008,0.8531858344298388,0.6097561145597639
20,0.29221109604616163,0.633135009334465,0.8412570971659041,0.588867734182177
21,0.2694466261253041,0.6035692018947914,0.8293592151318382,0.5674583477173112
22,0.23220939672855645,0.583274044269118,0.8051749840528579,0.5402194750168441
23,0.20995669243027404,0.5488223659183105,0.7781694663520385,0.5123161749002078
24,0.19724456868995988,0.5107118480369822,0.7544951034092742,0.4874838400454054
25,0.19246820271971216,0.4896315508498358,0.7386187637146981,0.4735728390947487
26,0.1796481363248295,0.4664040288277023,0.7093143750919096,0.4517888467481472
27,0.16495336914330322,0.42802461172642176,0.679727905986835,0.4242352956188533
28,0.14870595040627402,0.40182169002020873,0.6560765936798882,0.40220141136879034
29,0.14245054058934567,0.38552709307437044,0.6372448859550195,0.3884075065395785
30,0.13520290259127254,0.34599437809911704,0.6139102780932733,0.36503585292788765
31,0.12021526526926238,0.317497310194106,0.5883516874732361,0.3420214209788681
32,0.10512788748203901,0.3009635213500288,0.5639049532102832,0.3233321206807837
33,0.07915102730534292,0.2781124584382445,0.5459091914517333,0.30105755906510695
34,0.0721804532080313,0.25449940511528923,0.5206042815846197,0.2824280466359801
35,0.06232122793965252,0.23277715937498006,0.5023872853681134,0.26582855756091534
36,0.048472704593053924,0.21655548426509597,0.4787417754260945,0.24792332142808146
37,0.04162734616541833,0.19274471044666863,0.4432022393459367,0.22585809865267456
38,0.038875395149579765,0.1672549086655408,0.41708755361100913,0.2077392858087099
39,0.03614271693686517,0.1547221807493166,0.3891943405529459,0.19335307941304256
