,Asians,Black,White,average
0,0.9999999999999958,0.9999202126740083,1.0000000000000073,0.9999734042246704
1,0.9999999999999958,0.9999096550891899,0.9999969411941882,0.9999688654277913
2,0.9999999999999958,0.9998625974214287,0.9999947215155242,0.9999524396456496
3,0.9999999999999958,0.9995662381027688,0.9999904236137479,0.9998522205721708
4,0.9999999135581178,0.9982706257606174,0.9999845191203547,0.9994183528130299
5,0.9999998250000961,0.9979388549854578,0.9999712632568963,0.9993033144141501
6,0.9999729990229606,0.9969858150687858,0.9999139688829123,0.9989575943248862
7,0.9999673120842553,0.9954285314567094,0.9998328818317297,0.9984095751242315
8,0.9999406587388586,0.9942069914435031,0.9997505768017317,0.9979660756613645
9,0.9999305666666093,0.9927991803618555,0.9996392138488871,0.9974563202924506
10,0.9999214248959796,0.991172603293251,0.9994949066751977,0.9968629782881427
11,0.9998648445675825,0.9885720762995709,0.9993185536776029,0.9959184915149187
12,0.9997980184034808,0.9848830527150971,0.999039968907602,0.9945736800087266
13,0.9869779127981199,0.9816654712239277,0.9986848386147553,0.989109407545601
14,0.986616679248656,0.977779586697482,0.9983263460587942,0.9875742040016441
15,0.9854851902507121,0.9691940136124878,0.9975889760717807,0.9840893933116602
16,0.9836927262122296,0.9596847275822357,0.9967331368542888,0.9800368635495847
17,0.9830871133302536,0.9499396228736303,0.9952680340981677,0.9760982567673505
18,0.9814284370381832,0.9386251619728734,0.988508048689971,0.9695205492336759
19,0.9806261886492202,0.9258955084804352,0.9860917958418994,0.964204497657185
20,0.9789368330469922,0.9138691947582971,0.9835257813451429,0.9587772697168108
21,0.9767623116680522,0.9012435804689682,0.9793304712835504,0.9524454544735237
22,0.9749850381805095,0.8878990057782342,0.9733570719752541,0.9454137053113326
23,0.9645087272794789,0.8723931663890777,0.9658041221554607,0.9342353386080058
24,0.9600319167135356,0.8545044704951784,0.9580876178997745,0.9242080017028295
25,0.946502242392322,0.8362638332518264,0.949513641529294,0.9107599057244808
26,0.9391371691618564,0.814913231872973,0.9393898940946676,0.8978134317098324
27,0.9316084568341213,0.7878647906646249,0.9270021515139969,0.882158466337581
28,0.9199961023784423,0.7608496456520986,0.9119455572634402,0.8642637684313269
29,0.9085015778030588,0.7344187455531143,0.8944483158435592,0.8457895463999107
30,0.8814738374399582,0.7089707809179752,0.8767536013836882,0.8223994065805406
31,0.8690571205115609,0.6829007091709358,0.8588785849677383,0.8036121382167449
32,0.8567359514163057,0.656990827803606,0.8406570229624716,0.784794600727461
33,0.8348087812770841,0.6308803521487097,0.813989706097983,0.7598929465079256
34,0.8220452619205224,0.6078196583201072,0.7915805986348231,0.740481839625151
35,0.8022267871901511,0.579524639112406,0.7624391175165789,0.7147301812730453
36,0.7679090870582136,0.5499245441116403,0.7321331232117495,0.6833222514605345
37,0.7500242114533475,0.5214873164796823,0.7006398390747239,0.6573837890025845
38,0.7148843693137038,0.49442977539396027,0.6705568168359212,0.6266236538478617
39,0.6944779516878953,0.46367567118445685,0.6375730376553455,0.5985755535092325
