,Asians,Black,White,average
0,0.9999999999999956,0.999999970068491,1.0000000000000013,0.9999999900228292
1,0.9999999999999956,0.9999951748076976,1.0000000000000013,0.9999983916025649
2,0.9999999999999956,0.999988331919907,1.0000000000000013,0.9999961106399681
3,0.9999999999999956,0.9999847378600123,0.9999999508633254,0.999994896241111
4,0.9999992202579738,0.9999673128393413,0.9999998496742303,0.9999887942571818
5,0.999999133816096,0.9994516343902613,0.9999961683901905,0.9998156455321826
6,0.999999133816096,0.9992213135557174,0.9999953530339434,0.9997386001352523
7,0.999973109729488,0.9991112978095888,0.9999935666071524,0.9996926580487431
8,0.9999730232876102,0.9988083215091141,0.999988413770612,0.9995899195224455
9,0.999964380623919,0.9980213204784156,0.9999506160118878,0.9993121057047408
10,0.999938358357435,0.9972573760794339,0.9999247582684194,0.9990401642350961
11,0.9871427402041925,0.9964797759693961,0.9998984518774326,0.9945069893503403
12,0.987063232889787,0.9954989148427917,0.9998332180971315,0.9941317886099035
13,0.9866299872865868,0.9938844572892052,0.9996370494693508,0.9933838313483809
14,0.9861327262444107,0.9902686363686262,0.9994229088881363,0.9919414238337244
15,0.9857800142384021,0.9862206693535374,0.9941144210683419,0.9887050348867605
16,0.9842933362850198,0.9827252275225895,0.9928056979765075,0.9866080872613723
17,0.9838284623151273,0.9778968860014188,0.9914916859881064,0.984405678101551
18,0.976301723531591,0.9694301567090935,0.9895061373872271,0.9784126725426372
19,0.9749117051359469,0.9591889572954081,0.9864811276029447,0.9735272633447666
20,0.9707805258455309,0.9507172045101184,0.9823670634995506,0.9679549312850666
21,0.9694172751220576,0.9410837045721172,0.9779504540447334,0.9628171445796361
22,0.9647340664752834,0.9270360610528416,0.9664700922128002,0.9527467399136418
23,0.9593669140551231,0.9080865481911882,0.9594365953021451,0.9422966858494854
24,0.9521174512640338,0.8890414260165211,0.9510037577861725,0.9307208783555758
25,0.9445448733294882,0.8716795207631062,0.9412880150963385,0.9191708030629776
26,0.9220183387671788,0.8494056861392889,0.9263047376197637,0.899242920842077
27,0.9081819088859419,0.8228886935406866,0.914339766206412,0.8818034562110135
28,0.8993329736575757,0.7926371141153785,0.8945452919604673,0.8621717932444738
29,0.872734668913601,0.7661752142714702,0.8759485412365339,0.8382861414738684
30,0.861660443255058,0.7374388385045967,0.8572944843546533,0.8187979220381026
31,0.8504049965676945,0.7049890886188476,0.8306822058816797,0.7953587636894072
32,0.836300452240985,0.6693967413214594,0.7986588494470429,0.7681186810031625
33,0.8245270469540357,0.6343339412481037,0.770809773040682,0.7432235870809404
34,0.7944299315629815,0.6016816910846882,0.7408543440074298,0.7123219888850332
35,0.7767989589832277,0.5649141846610057,0.6977798183340828,0.6798309873261054
36,0.7506432876868155,0.529045768443315,0.6662154452740202,0.6486348338013835
37,0.7035710877146331,0.4938391173997316,0.6211685687843641,0.6061929246329095
38,0.6784429179341364,0.4620465534844447,0.5753265587170021,0.571938676711861
39,0.6493824370730319,0.43026230312448155,0.5347940079409427,0.5381462493794854
